source,target,comment,task
"Caught red handed by the pedestrian’s roadblock, the blinking crosswalk light only impeded my progress. It was too frosty for September, and I didn’t want to wait any longer. Then again seven-sixteen a.m. may have been too early to gauge the weather. The smell of autumn melded with the distant aroma of roasted meat and free trade coffee. Either of which served me no purpose. I clutched my 16oz thermos of my own brewed coffee— Starbucks, if you must know, because yes, I am a woman who needs a legitimate cup of corporation for breakfast. The commercialism offsets the home-created decadence of my succulent, delicious— I interrupted my own thoughts, amazed at my own drive. I darted diagonally through the street regardless. Past mornings have taught me that I won’t get caught. Hopefully, this morning wouldn’t be an exception.","I was impeded by the sight of a red hand of the crosswalk. It was too frosty for September, and I didn’t want to wait. It might also be because I have been late, though not due to a lack of diligence on my part, to work a couple of times already this week. Fine. 4 times. I’ve been late four times this week, and I don’t mean my typical 5 minutes late. 15-20 minutes late. The kinda late that will get the boss’s wrong attention. The smell of autumn melded with the distant aroma of roasted meat and free trade coffee. I don’t have time for either. Instead, I clutched my 16oz thermos of my own brewed coffee—Starbucks, if you must know, because yes, I am a woman who needs a legitimate cup of corporation for breakfast. I fantasize about how delicious this commercialized brew is when I brew at home, when my thoughts are intruded by the fact no cars are on the street in front of me. Crossing my fingers that I won’t get caught, I dart across the street as my heels will take me. My progress is impeded, but not by an officer. No far worse. I did not realize until it was too late.
The whole street ahead of me was closed in preparation for an event this afternoon! I would have to take the long around this, which would take an extra 15 minutes. I ponder how this always befalls me. Dinners, family gatherings, now work—all suffer from the same curse. I am always late. And it usually involves some nonsense as this. A whole street closed?! I was dressed ant out the door before seven! Now, I am going to be late and there is a taxi to save my life right now! I rip off my heels and beginning sprinting through the closed off street. I say sorry as I scurry by and they give me a confused look more than anything. I was desperate, so I sprinted through so that I could be my usual 5 minutes late. ",write a story about a person who is always late,others
"If there were any suggestions of Mendelssohn in Dohnányi’s quartet, they reverberated into the second half of the program with the performance of that earlier composer’s final string quartet, Opus 80 in F minor. Mendelssohn was a composer driven by intense energy. Cellist Bonnie Hampton once told her master class students that he was always burning his candle at both ends, and it is easy to imagine that Mendelssohn knew there was little left of that candle when he was working on Opus 80. Fortunately, the Takács players knew how to capture the urgency of the composer’s personal situation without overplaying it. The result was that the attentive listener could appreciate not only the intensity of the darkness but also the solid craft behind establishing that darkness.","If there were any hints of Mendelssohn lurking in Dohnányi’s quartet, they made themselves felt throughout the second half of the program in ways that were reminiscent of that great composer’s final composition for string quartet, Opus 80 in F minor. Mendelssohn was driven by an intense inner drive, that Cellist Bonnie Hampton once described as “always burning his candle at both ends.” It isn’t hard to imagine that Mendelssohn knew how little candle he had left as he worked on Opus 80. Fortunately for us, the Takács players knew how to capture that fateful sense of urgency without overplaying their hand. The result was that an active listener could appreciate the intensity and the darkness behind the piece without being suffocated by it. In this way, listeners were also able to appreciate the solid craftsmanship at the core of all that energy.",write in style of roger ebert,others
"Deep Tissue Massage is a form of bodywork that aims to relieve tension in the deeper layers of tissue in the body. Deep Tissue Massage is a highly effective method for releasing chronic stress areas due to misalignment, repetitive motions, and past lingering injuries. Due to the nature of the deep tissue work, open communication during the session is crucial to make sure you don't get too uncomfortable. Keep in mind that soreness is common after the treatment, and that plenty of water should be ingested to aid with the flushing and removal of toxins that will have been released from the deep tissue during the session.","Deep Tissue Massage soothes tension in the body's deeper tissue. It is a kind of bodywork that is incredibly effective for easing chronic stress areas caused by misalignment, repeated motions, and lingering injuries. Due to how deep tissue work is performed, open communication amidst the session is vital to ensure you do not become too uncomfortable. Keep in mind that soreness often takes place post-treatment. You should drink plenty of water to help flush out toxins that your deep tissue released during the session. If you feel sharp pain after the session, consult an urgent care provider or emergency room immediately.",add a call to action,others
"The procedure for constructing your resume and employing internet might take a couple hours. The Federal employing procedure is tedious, perhaps not not possible. The national program procedure could be hard. The USAJOBS software procedure is intended to weed out applicants that can not follow directions that were precise. Your application is going to be deemed incomplete” in the event that you don’t furnish all required documentation or don’t complete any important questionnaires. The software and also national resume approach is not formidable, but it really is detailed and you’ve must so rating authorities are going to be able to readily track down the important duties and technical experience that is necessary for that job. Creating a application is really a trying treatment and we’d like to make it more simpler.","The procedures of building our resume through the internet might take a couple of hours, but it is important. Although the Federal employing procedure is tedious, it is not impossible. The USAJOBs software procedures is designed to make sure the best applicants make it through that want to give their all to their future employment. However, if you do not follow all the instructions carefully, your application is going to deemed incomplete. Therefore, it is vital that you do not forget to include all required documentation and answer every important questionnaires. The software and national resume approach is designed in such a way so that the rating authorities can readily scan through each application in search of the key duties and technical experience they are searching for in an applicant. Nonetheless, the current process could be simplified and redesigned to work better for everyone involved in the process. ",make it more friendly and personal,others
"A. Action of the Board: The Board upon a finding by a majority vote that a member or chapter has violated the Articles of Incorporation or Bylaws shall notify the member or chapter of its delinquency in writing. If the delinquency is subject to being remedied, reasonable opportunity within the discretion of the Board for correction shall be allowed if however the breech is not subject to being corrected or is not corrected, the Board may by two-third (2/3) majority vote terminate or suspend for up to one (01) year. An individual member or chapter termination or Suspension by the Board does not become effective until that entire act has been affirmed by the four-fifths (4/5) vote of the Membership at the Annual or Special Meeting at which a quorum is present. In the event of a resolution calling for the termination of suspension of a member or chapter, the Board shall forthwith call a special meeting of the Membership.","A. Action of the Board:
-If the Board determines by a majority vote that a member or chapter has violated the Articles of Incorporation or Bylaws, the Board shall inform the member or chapter of its negligence in writing.
-If the delinquency is remedial, the Board shall provide a reasonable opportunity within its discretion.
-However, if the breech is not remedial or is not corrected, the Board may, by a two-thirds (2/3) majority vote, terminate or suspend for up to a year.
-The termination or suspension of an individual member or chapter by the Board is not effective until it is affirmed by a four-fifths (4/5) vote of the membership at the annual or special meeting, where a quorum is present.
-In situations where there is a resolution calling for the termination of the suspension of a member or chapter, the Board will convene a special meeting of the membership.",Use bullet points to make this more readable,others
"Juvo works by teaming up with mobile phone operators and financial institutions to enable members of underserved communities to build financial identities. The company’s technology uses credit algorithms based on advanced data science to find creditworthy individuals among what Polsky says are the “two billion underbanked people in the world – most of whom have a mobile phone” and to ensure their access to financial services. Juvo has been a beneficial partner, as well, helping its operators lower churn by 50% or more, increase average revenue per user (ARPU) by up to 15%, and realize an average increase in subscriber lifetime value of 65%.","My friend Juvo works by partnering with mobile phone companies and financers to help people in impoverished communities to build themselves up financially. The company's technology uses credit algorithms centered on advanced data science to discover creditworthy people in what Polsky calls the ""two billion underbanked people in the world, most of which own a mobile phone"" and to make sure they can access financial services. Juvo told me he's been a beneficial partner and helps its operators lower churn by 50% or more, increases average revenue per user (ARPU) by up to 15%, and realizes a moderate increase in the subscriber lifetime value of 65%.
",make it more personal,others
"By all means, you are welcome to come to our office. Because Mr. Abrams is responsible for maintaining correspondence, via e-mail, with our many clients around the world as well as the thousands of individuals, such as yourself, who seek information over the Internet, Mr. Peter Krochak meets with potential clients in our office while Mr. Abrams looks after the e-mail. Should you wish to schedule an appointment, please telephone Mr. Krochak at +1-416-482-3387, Extension 23 (press 23 on your telephone when you hear the auto-attendant) between the hours of 09:00 and 17:00, Eastern Time, Monday to Friday. Generally speaking, Mr. Krochak charges a 300 CAD consultation fee for an appointment. If you subsequently become a client of Abrams & Krochak, the 300 CAD consultation fee will be deducted from Abrams & Krochak’s legal fees.","Sincerely, we encourage you to visit our office. Due to the fact that Mr. Abrams is in charge of keeping relations through email, with our great number of clients from all over the world, as well as with the thousands of people, like you, who look for answers through the Internet, Mr. Peter Krochak has meetings with possible clients in our office while Mr. Abrams does dealings through email. If you want to arrange a meeting, kindly call Mr. Krochak at +1-416-482-3387, Extension 23 (press 23 on your phone the moment you hear the auto-attendant) between 9:00 AM and 5:00 PM, EST, Monday to Friday. Usually, Mr. Krochak has a 300 CAD consultation charge for any meeting. If you then become a client of Abrams & Krochak, the 300 CAD meeting charge will be taken away from Abrams & Krochak legal charges.",copy edit - use active voice and make more concise,others
"This book consists of magazine and newspaper articles, interviews, record reviews, excerpts from books, and other material related to the history of The Doors, to whose memory it is dedicated.This book consists of magazine and newspaper articles, interviews, record reviews, excerpts from books, and other material related to the history of The Doors, to whose memory it is dThis book consists of magazine and newspaper articles, interviews, record reviews, excerpts from books, and other material related to the history of The Doors, to whose memory it is dedicated.This book consists of magazine and newspaper articles, interviews, record reviews, excerpts from books, and other material related to the history of The Doors, to whose memory it is dedicated.","This text has articles from both magazines and newspapers, recorded consultations, record reviews, parts from other texts, and more resources involved with The Doors’ history, to who this text dedicated it’s memory toward.",Make sure the text is clear and easy to understand,others
"The culture takes its name from the village near Târgu Frumos (Iași county), where Teodor Burada discovered the first vestiges in 1884. Cucuteni – Tripolie is one of oldest European civilizations (5200-3500 B.C.) which covers 385.000 km² in the NE of Romania, Republic of Moldova and Ukraine. Specific for this culture are the vases with a refined painting, having three different phases – Precucuteni (carved geometrical models), Cucuteni A (spiral painted models), Cucuteni B (integrating of anthropo /zoo-morphic models, with a cosmologic role, along with geometrical models). The civilisation is covered in a true mystery because the Cucuteni people used to set on fire their houses regularly, a ritual with many possible explanations.","The culture is named for the village near Târgu Frumos (Iași county), where Teodor Burada first discovered signs of these people in 1884. Tripolie is one of oldest European civilizations (5200-3500 B.C.) which covers 385.000 km² in the NE of Romania, the Republic of Moldova and Ukraine. This culture was specifically notable for their creation of fine vases decorated with a refined painting style that can be categorized into three distinct phases:  Precucuteni (carved geometrical models), Cucuteni A (spiral painted models), and Cucuteni B (integrating of anthropo/zoo-morphic models, with a cosmologic role, along with geometrical models). Many details about this fascinating culture are still shrouded in mystery, however, because of a bizarre ritual in which these people would commonly set their own houses afire. Entire villages have been found, seemingly burnt to the ground by their very owners, though it is not known specifically how and why they did this. Many possible explanations for this behavior are still heavily debated by scholars today.",expand on the mystery of the culture,others
"In this world, no money would be used either. With all consumer goods manufactured in abundance and excellent quality, it would be like putting a price on air. Food, water, and shelter would be seen as human rights, and provided on request, along with a dizzying array of manufactured goods. Still, nobody would feel the need to stockpile or accumulate products, because there would be no point. Wealth would disappear as a measure of status, when everyone has the same amount of wealth. All the same, some limits would be placed at least initially, like, only twenty Laptops to a given individual. These would disappear over time, in all likelihood, as the leftover associations of status with wealth ebb away.","Money is not used. Manufactured products are plentiful and high-caliber. It's like trying to sell air. Humans have a right to food, water, and shelter. These resources are given as people request them, along with an abundant amount of manufactured products. No one feels that it is necessary to hoard or stockpile products. There is no point. Status is not measured through wealth. Everyone has the same wealth. Some limits were set at first, such as one person was only allowed to own up to twenty laptops at a time. Whatever considerations of status related to wealth faded away over time.",make it more realistic,others
