,configuration,time_taken
0,meta-llama/Llama-3.1-8B 1 100 16.0,"['[7.295702934265137, 7.307373523712158, 7.276921272277832, 7.334158182144165, 7.315359830856323, 7.3181843757629395, 7.334127902984619, 7.325087547302246]', '[7.43357515335083, 7.471777677536011, 7.37994122505188, 7.430401563644409, 7.423200845718384, 7.483227968215942, 7.429614543914795, 7.372442007064819]', '[7.1360924243927, 7.145414590835571, 7.127111434936523, 7.151201963424683, 7.192584276199341, 7.106483459472656, 7.1509950160980225, 7.1028831005096436]']"
1,meta-llama/Llama-3.1-8B 1 100 4.0,"['[8.905246019363403, 8.760826349258423, 8.709452152252197, 8.736474752426147, 8.775218963623047, 8.725934982299805, 8.752209901809692, 8.78591775894165]', '[9.028599500656128, 9.036765336990356, 8.897359848022461, 1.429534912109375, 9.000859498977661, 8.978998899459839, 8.952210664749146, 8.916084051132202]', '[8.556008577346802, 8.490193128585815, 8.493227243423462, 8.535965204238892, 8.519701480865479, 8.584002494812012, 8.545420169830322, 3.2858657836914062]']"
2,meta-llama/Llama-3.1-8B 1 100 8.0,"['[22.285131454467773, 22.03308343887329, 22.360900402069092, 22.248459815979004, 22.230814695358276, 22.41139841079712, 22.070356130599976, 21.91999340057373]', '[22.284528732299805, 21.889297485351562, 22.390673637390137, 22.053125619888306, 22.091826915740967, 22.23908758163452, 21.977720975875854, 22.05925416946411]', '[21.238972902297974, 20.74993920326233, 21.32415223121643, 20.606337070465088, 20.840254068374634, 21.035109043121338, 20.896907329559326, 20.94792342185974]']"
3,meta-llama/Llama-3.1-8B 1 250 16.0,"['[18.346349239349365, 12.100184202194214, 8.710536003112793, 18.359578609466553, 16.194719076156616, 11.090712308883667, 14.350115537643433, 11.098110437393188]', '[14.243835926055908, 12.33760380744934, 18.616355895996094, 18.604756832122803, 15.11468243598938, 9.738373756408691, 15.955723285675049, 11.178054332733154]', '[11.763657093048096, 6.284534215927124, 9.331249237060547, 10.126785516738892, 17.8720805644989, 17.918381690979004, 17.892199993133545, 17.86047387123108]']"
4,meta-llama/Llama-3.1-8B 1 250 4.0,"['[18.32587742805481, 21.886517763137817, 21.865797519683838, 21.833312034606934, 21.746737957000732, 11.360888719558716, 21.686708211898804, 9.60690689086914]', '[22.528067350387573, 14.898006439208984, 11.846083641052246, 22.429460525512695, 17.23218584060669, 20.147605657577515, 17.044227600097656, 22.287399768829346]', '[21.591638803482056, 21.498721599578857, 21.396767377853394, 21.325136184692383, 16.535012245178223, 11.249075889587402, 21.315955877304077, 21.257516145706177]']"
5,meta-llama/Llama-3.1-8B 1 250 8.0,"['[56.06402850151062, 25.07847833633423, 55.90089249610901, 56.130285024642944, 55.8339307308197, 55.86456489562988, 44.17396354675293, 46.164376974105835]', '[40.998278856277466, 54.32136607170105, 55.58290147781372, 55.11577582359314, 54.72766947746277, 55.40461778640747, 31.299001216888428, 55.79440903663635]', '[52.82901382446289, 36.41072750091553, 52.696200132369995, 52.40537476539612, 52.584211587905884, 51.43772029876709, 52.678138256073, 53.23588252067566]']"
6,meta-llama/Llama-3.1-8B 1 500 16.0,"['[37.250710010528564, 37.34908103942871, 36.88182258605957, 27.071040153503418, 28.604933261871338, 31.07227087020874, 37.17581820487976, 13.642204761505127]', '[37.478631019592285, 37.455756425857544, 37.31448268890381, 37.28054881095886, 30.722307205200195, 37.40519976615906, 37.3723406791687, 37.32396197319031]', '[35.975194454193115, 24.08277988433838, 35.79165077209473, 35.79672408103943, 35.8431179523468, 35.877169370651245, 14.136881589889526, 2.7662618160247803]']"
7,meta-llama/Llama-3.1-8B 1 500 4.0,"['[45.61248970031738, 15.577507257461548, 27.20841336250305, 45.26784896850586, 44.81305813789368, 15.409454345703125, 34.537017583847046, 44.316351652145386]', '[16.82200574874878, 44.40721607208252, 23.55142879486084, 12.004345893859863, 44.61970233917236, 11.70975112915039, 34.55164837837219, 3.549980878829956]', '[15.621733665466309, 42.30181002616882, 42.42274236679077, 42.43310284614563, 16.71300482749939, 34.43375515937805, 42.49568057060242, 7.896860837936401]']"
8,meta-llama/Llama-3.1-8B 1 500 8.0,"['[111.52412056922913, 36.262070655822754, 111.38189744949341, 110.49312853813171, 110.58101272583008, 112.55599665641785, 113.58705425262451, 110.61411714553833]', '[48.98049449920654, 110.01804733276367, 111.57235145568848, 61.69731068611145, 110.79095339775085, 111.71430778503418, 95.59093689918518, 44.653995990753174]', '[38.146040201187134, 29.466896295547485, 56.763296127319336, 104.43145418167114, 88.39085531234741, 105.02625894546509, 44.15771007537842, 66.4557933807373]']"
9,meta-llama/Llama-3.1-8B 4 100 16.0,"['[7.9896368980407715, 7.942603588104248]', '[8.139619588851929, 8.149836301803589]', '[7.861953258514404, 7.833587408065796]']"
